time/date,Port 3 (VWC),Port 3 (EC),Port 3 (temp),Port 4 (VWC),Port 4 (EC),Port 4 (temp),2m Rain (in),2m Rel Hum (pct),ET (in),observed
5/26/17 13:20,0.144,0.067,73.6,0.114,0.164,72.9,0,37,0.18,0.261464397
5/26/17 13:25,0.144,0.067,73.6,0.114,0.164,72.9,0,37,0.19,0.498882395
5/26/17 13:30,0.144,0.067,73.6,0.114,0.164,72.9,0,35,0.2,0.004276884
5/26/17 13:35,0.144,0.067,73.6,0.114,0.164,72.9,0,34,0.21,0.179766584
5/26/17 13:40,0.143,0.067,73.6,0.114,0.164,72.9,0,34,0.17,0.355638463
5/26/17 13:45,0.144,0.067,73.6,0.114,0.164,72.9,0,33,0.17,0.822828448
5/26/17 13:50,0.143,0.067,73.6,0.114,0.164,72.9,0,33,0.14,0.319861134
5/26/17 13:55,0.143,0.067,73.6,0.114,0.162,72.9,0,33,0.14,0.7567945
5/26/17 14:00,0.143,0.067,73.6,0.114,0.164,73,0,32,0.17,0.132312774
5/26/17 14:05,0.143,0.067,73.6,0.114,0.162,72.9,0,33,0.16,0.970180954
5/26/17 14:10,0.143,0.067,73.6,0.114,0.162,73,0,33,0.13,0.114243625
5/26/17 14:15,0.142,0.067,73.6,0.114,0.162,73,0,33,0.07,0.801305191
5/26/17 14:20,0.142,0.067,73.6,0.114,0.162,73,0,32,0.12,0.535510381
5/26/17 14:25,0.141,0.067,73.6,0.114,0.162,73,0,33,0.09,0.50149782
5/26/17 14:30,0.141,0.067,73.6,0.114,0.162,73,0,33,0.19,0.364444641
5/26/17 14:35,0.141,0.067,73.6,0.114,0.16,73,0,33,0.17,0.17424308
5/26/17 14:40,0.141,0.067,73.6,0.114,0.162,73,0,33,0.1,0.044353465
5/26/17 14:45,0.141,0.067,73.6,0.114,0.16,73,0,34,0.11,0.454882605
5/26/17 14:50,0.141,0.067,73.6,0.114,0.16,73,0,33,0.14,0.213310067
5/26/17 14:55,0.14,0.067,73.6,0.114,0.16,73,0,34,0.15,0.035741075
5/26/17 15:00,0.14,0.067,73.6,0.114,0.16,73.2,0,35,0.17,0.39781064
5/26/17 15:05,0.14,0.066,73.6,0.114,0.16,73,0,36,0.16,0.362463312
5/26/17 15:10,0.14,0.067,73.6,0.114,0.16,73.2,0,37,0.18,0.732127167
5/26/17 15:15,0.14,0.066,73.6,0.114,0.16,73.2,0,39,0.18,0.481606078
5/26/17 15:20,0.14,0.067,73.6,0.114,0.158,73.2,0,48,0.13,0.508703538
5/26/17 15:25,0.139,0.067,73.6,0.114,0.158,73.2,0,63,0.08,0.715640789
5/26/17 15:30,0.139,0.067,73.6,0.114,0.158,73.2,0,65,0.13,0.935316891
5/26/17 15:35,0.139,0.066,73.6,0.114,0.158,73.4,0,68,0.21,0.826058968
5/26/17 15:40,0.139,0.066,73.6,0.113,0.158,73.4,0,72,0.21,0.867345141
5/26/17 15:45,0.139,0.067,73.6,0.113,0.158,73.4,0,77,0.2,0.136913135
5/26/17 15:50,0.139,0.067,73.6,0.113,0.158,73.4,0,74,0.19,0.475678544
5/26/17 15:55,0.139,0.067,73.6,0.114,0.157,73.4,0,74,0.16,0.168089207
5/26/17 16:00,0.139,0.066,73.6,0.114,0.157,73.6,0,75,0.12,0.835481501
5/26/17 16:05,0.138,0.067,73.6,0.114,0.157,73.4,0,69,0.14,0.953416513
5/26/17 16:10,0.138,0.067,73.6,0.113,0.157,73.6,0,71,0.15,0.117723886
5/26/17 16:15,0.138,0.066,73.6,0.113,0.157,73.6,0,74,0.17,0.647766093
5/26/17 16:20,0.137,0.066,73.6,0.113,0.157,73.6,0,76,0.21,0.713504897
5/26/17 16:25,0.137,0.066,73.6,0.113,0.157,73.6,0,79,0.2,0.34699716
5/26/17 16:30,0.137,0.067,73.6,0.113,0.157,73.8,0,82,0.21,0.53169542
5/26/17 16:35,0.137,0.066,73.6,0.113,0.157,73.8,0,84,0.19,0.282765189
5/26/17 16:40,0.137,0.065,73.6,0.113,0.155,73.8,0,84,0.21,0.882466467
5/26/17 16:45,0.137,0.066,73.6,0.113,0.155,73.8,0,86,0.18,0.710249403
5/26/17 16:50,0.137,0.067,73.6,0.113,0.155,73.8,0,86,0.21,0.40103811
5/26/17 16:55,0.136,0.066,73.6,0.113,0.155,73.8,0,87,0.19,0.508857859
5/26/17 17:00,0.137,0.066,73.6,0.113,0.155,73.9,0,87,0.15,0.59411534
5/26/17 17:05,0.136,0.066,73.6,0.113,0.153,73.9,0,88,0.15,0.820378942
5/26/17 17:10,0.136,0.066,73.6,0.112,0.155,73.9,0,89,0.16,0.909387336
5/26/17 17:15,0.135,0.066,73.6,0.113,0.155,73.9,0,90,0.16,0.569923068
5/26/17 17:20,0.135,0.066,73.6,0.113,0.153,73.9,0,91,0.16,0.11023014
5/26/17 17:25,0.135,0.066,73.6,0.113,0.153,73.9,0,91,0.16,0.501089048
5/26/17 17:30,0.135,0.066,73.6,0.113,0.153,74.1,0,92,0.16,0.746280304
5/26/17 17:35,0.135,0.066,73.6,0.112,0.153,74.1,0,92,0.16,0.485349361
5/26/17 17:40,0.135,0.066,73.6,0.112,0.152,74.1,0,93,0.16,0.69117497
5/26/17 17:45,0.135,0.066,73.6,0.112,0.152,74.3,0,94,0.16,0.453279421
5/26/17 17:50,0.134,0.066,73.6,0.112,0.152,74.1,0,94,0.16,0.255205777
5/26/17 17:55,0.134,0.065,73.6,0.112,0.152,74.3,0,94,0.16,0.859550949
5/26/17 18:00,0.134,0.066,73.6,0.112,0.152,74.3,0,95,0.16,0.152176759
5/26/17 18:05,0.134,0.066,73.6,0.112,0.152,74.3,0,95,0.16,0.201452955
5/26/17 18:10,0.134,0.066,73.6,0.111,0.152,74.3,0,95,0.16,0.366069233
5/26/17 18:15,0.134,0.066,73.6,0.111,0.152,74.3,0,95,0.16,0.998439343
5/26/17 18:20,0.134,0.066,73.8,0.112,0.152,74.3,0,94,0.16,0.493142217
5/26/17 18:25,0.134,0.065,73.8,0.111,0.15,74.5,0,93,0.16,0.469060059
5/26/17 18:30,0.133,0.065,73.8,0.111,0.15,74.5,0,94,0.16,0.51813591
5/26/17 18:35,0.134,0.065,73.8,0.111,0.15,74.5,0,95,0.16,0.702738206
5/26/17 18:40,0.133,0.065,73.8,0.111,0.15,74.5,0,95,0.16,0.670652582
5/26/17 18:45,0.133,0.065,73.8,0.111,0.15,74.5,0,96,0.16,0.074299466
5/26/17 18:50,0.133,0.065,73.8,0.111,0.149,74.7,0,96,0.16,0.342726795
5/26/17 18:55,0.133,0.066,73.8,0.111,0.149,74.7,0,97,0.16,0.138414208
5/26/17 19:00,0.133,0.065,73.8,0.111,0.149,74.7,0,97,0.16,0.900952538
5/26/17 19:05,0.133,0.065,73.8,0.111,0.149,74.7,0,96,0.16,0.872786528
5/26/17 19:10,0.133,0.066,73.8,0.111,0.149,74.7,0,95,0.16,0.120128485
5/26/17 19:15,0.132,0.065,73.8,0.111,0.149,74.7,0,90,0.16,0.146120831
5/26/17 19:20,0.133,0.065,73.8,0.111,0.149,74.7,0,85,0.16,0.891709977
5/26/17 19:25,0.133,0.065,73.8,0.111,0.149,74.7,0,83,0.16,0.967636973
5/26/17 19:30,0.133,0.065,73.8,0.111,0.147,74.8,0,81,0.16,0.186803388
5/26/17 19:35,0.132,0.064,73.8,0.111,0.149,74.8,0,78,0.16,0.673276891
5/26/17 19:40,0.133,0.065,73.8,0.111,0.147,74.8,0,74,0.16,0.13944717
5/26/17 19:45,0.132,0.065,73.8,0.111,0.147,75,0,68,0.16,0.856022781
5/26/17 19:50,0.132,0.065,73.8,0.111,0.147,74.8,0,66,0.16,0.661086978
5/26/17 19:55,0.132,0.064,73.8,0.111,0.147,75,0,65,0.16,0.954751911
5/26/17 20:00,0.133,0.065,73.8,0.111,0.147,74.8,0,62,0.16,0.580101695
5/26/17 20:05,0.133,0.065,73.9,0.11,0.147,74.8,0,61,0.16,0.456439071
5/26/17 20:10,0.132,0.064,73.8,0.111,0.147,75,0,58,0.16,0.716620943
5/26/17 20:15,0.132,0.064,73.9,0.11,0.147,75,0,58,0.16,0.563585494
5/26/17 20:20,0.132,0.064,73.9,0.11,0.147,75,0,55,0.16,0.884511355
5/26/17 20:25,0.132,0.064,73.9,0.11,0.147,75,0,52,0.16,0.440924624
5/26/17 20:30,0.132,0.064,73.9,0.11,0.147,75,0,50,0.16,0.972851059
5/26/17 20:35,0.132,0.064,73.9,0.11,0.145,75,0,51,0.16,0.713573926
5/26/17 20:40,0.132,0.064,73.9,0.11,0.147,75,0,48,0.16,0.413082948
5/26/17 20:45,0.132,0.064,73.9,0.11,0.145,75.2,0,47,0.16,0.691007083
5/26/17 20:50,0.132,0.064,73.9,0.11,0.145,75,0,47,0.16,0.09255405
5/26/17 20:55,0.132,0.064,73.9,0.11,0.145,75.2,0,46,0.16,0.674234658
5/26/17 21:00,0.132,0.064,73.9,0.11,0.145,75.2,0,46,0.16,0.737080376
5/26/17 21:05,0.132,0.064,73.9,0.11,0.145,75.2,0,45,0.16,0.21649118
5/26/17 21:10,0.132,0.064,73.9,0.11,0.145,75.2,0,44,0.16,0.955827101
5/26/17 21:15,0.132,0.064,73.9,0.11,0.145,75.2,0,42,0.16,0.035919904
5/26/17 21:20,0.132,0.064,73.9,0.11,0.144,75.2,0,38,0.16,0.313179167
5/26/17 21:25,0.132,0.064,73.9,0.11,0.144,75.2,0,38,0.16,0.011038963
5/26/17 21:30,0.131,0.064,74.1,0.11,0.144,75.2,0,39,0.16,0.42287904
5/26/17 21:35,0.132,0.065,74.1,0.11,0.144,75.2,0,38,0.16,0.464061126
5/26/17 21:40,0.132,0.064,74.1,0.11,0.144,75.2,0,39,0.16,0.955722403
5/26/17 21:45,0.132,0.064,74.1,0.109,0.144,75.2,0,41,0.16,0.078533104
5/26/17 21:50,0.131,0.064,74.1,0.109,0.144,75.4,0,40,0.16,0.049128715
5/26/17 21:55,0.132,0.064,74.1,0.109,0.144,75.4,0,39,0.16,0.928012925
5/26/17 22:00,0.132,0.064,74.1,0.11,0.144,75.4,0,40,0.16,0.706364632
5/26/17 22:05,0.132,0.064,74.1,0.109,0.144,75.4,0,40,0.16,0.936034367
5/26/17 22:10,0.132,0.064,74.1,0.11,0.144,75.4,0,41,0.16,0.385769204
5/26/17 22:15,0.132,0.064,74.1,0.109,0.144,75.4,0,42,0.16,0.448180872
5/26/17 22:20,0.132,0.064,74.1,0.109,0.144,75.4,0,44,0.16,0.711686414
5/26/17 22:25,0.131,0.064,74.1,0.11,0.142,75.4,0,44,0.16,0.339292916
5/26/17 22:30,0.132,0.064,74.1,0.109,0.144,75.4,0,43,0.16,0.619950017
5/26/17 22:35,0.131,0.064,74.1,0.109,0.142,75.4,0,42,0.16,0.942554077
5/26/17 22:40,0.131,0.064,74.1,0.109,0.142,75.4,0,40,0.16,0.150679245
5/26/17 22:45,0.131,0.064,74.3,0.109,0.142,75.4,0,39,0.16,0.844598264
5/26/17 22:50,0.13,0.064,74.1,0.109,0.142,75.4,0,39,0.16,0.86775022
5/26/17 22:55,0.131,0.064,74.1,0.11,0.142,75.4,0,40,0.16,0.122897917
5/26/17 23:00,0.131,0.064,74.1,0.109,0.142,75.4,0,42,0.16,0.709951112
5/26/17 23:05,0.131,0.064,74.3,0.109,0.142,75.4,0,41,0.16,0.848463043
5/26/17 23:10,0.13,0.064,74.3,0.109,0.142,75.4,0,46,0.16,0.554473792
5/26/17 23:15,0.131,0.064,74.3,0.109,0.142,75.4,0,50,0.16,0.469736472
5/26/17 23:20,0.131,0.064,74.3,0.109,0.142,75.4,0,53,0.16,0.483838794
5/26/17 23:25,0.131,0.064,74.3,0.109,0.142,75.4,0,60,0.16,0.544420661
5/26/17 23:30,0.13,0.064,74.3,0.109,0.142,75.4,0,63,0.16,0.441762947
5/26/17 23:35,0.13,0.064,74.3,0.109,0.142,75.4,0,60,0.16,0.716890207
5/26/17 23:40,0.13,0.064,74.3,0.109,0.142,75.4,0,62,0.16,0.636603657
5/26/17 23:45,0.131,0.063,74.3,0.109,0.142,75.4,0,66,0.16,0.058322561
5/26/17 23:50,0.13,0.063,74.3,0.109,0.141,75.4,0,70,0.16,0.554412388
5/26/17 23:55,0.13,0.063,74.3,0.109,0.141,75.4,0,73,0.16,0.189932483
5/27/17 0:00,0.13,0.063,74.3,0.109,0.141,75.6,0,75,0.16,0.415016484
5/27/17 0:05,0.13,0.064,74.3,0.109,0.141,75.4,0,77,0.16,0.895293366
5/27/17 0:10,0.13,0.063,74.3,0.109,0.141,75.4,0,80,0.16,0.332549804
5/27/17 0:15,0.13,0.063,74.3,0.109,0.141,75.4,0,82,0.16,0.58285649
5/27/17 0:20,0.13,0.063,74.3,0.109,0.141,75.4,0,84,0.16,0.816924091
5/27/17 0:25,0.13,0.063,74.3,0.109,0.141,75.4,0,86,0.16,0.583860586
5/27/17 0:30,0.13,0.063,74.3,0.109,0.141,75.4,0,88,0.16,0.651753683
5/27/17 0:35,0.13,0.064,74.3,0.109,0.141,75.4,0,89,0.16,0.381582295
5/27/17 0:40,0.13,0.063,74.3,0.109,0.139,75.4,0,91,0.16,0.983201569
5/27/17 0:45,0.13,0.063,74.3,0.109,0.141,75.4,0,92,0.16,0.87725614
5/27/17 0:50,0.13,0.063,74.3,0.109,0.139,75.4,0,93,0.16,0.63935952
5/27/17 0:55,0.13,0.064,74.3,0.109,0.141,75.4,0,94,0.16,0.268168331
5/27/17 1:00,0.129,0.063,74.3,0.109,0.139,75.4,0,94,0.16,0.269289049
5/27/17 1:05,0.13,0.063,74.5,0.109,0.139,75.4,0,95,0.16,0.833292394
5/27/17 1:10,0.13,0.063,74.5,0.109,0.139,75.4,0,96,0.16,0.34195541
5/27/17 1:15,0.13,0.063,74.5,0.109,0.139,75.4,0,96,0.16,0.556470314
5/27/17 1:20,0.13,0.063,74.5,0.109,0.139,75.4,0,97,0.16,0.028210871
5/27/17 1:25,0.13,0.063,74.5,0.109,0.139,75.4,0,97,0.16,0.346460844
5/27/17 1:30,0.13,0.063,74.5,0.109,0.139,75.4,0,97,0.16,0.975810221
5/27/17 1:35,0.13,0.062,74.7,0.109,0.139,75.4,0,98,0.16,0.737250016
5/27/17 1:40,0.13,0.063,74.5,0.109,0.138,75.4,0,98,0.16,0.657236579
5/27/17 1:45,0.13,0.063,74.7,0.109,0.138,75.4,0,98,0.16,0.020909907
5/27/17 1:50,0.13,0.063,74.7,0.109,0.138,75.4,0,98,0.16,0.8860301
5/27/17 1:55,0.13,0.063,74.7,0.109,0.139,75.4,0,98,0.16,0.23083298
5/27/17 2:00,0.13,0.063,74.7,0.109,0.138,75.4,0,98,0.16,0.540943507
5/27/17 2:05,0.13,0.063,74.7,0.109,0.138,75.4,0,98,0.16,0.941933538
5/27/17 2:10,0.13,0.062,74.7,0.108,0.139,75.4,0,98,0.16,0.793069132
5/27/17 2:15,0.129,0.063,74.7,0.109,0.138,75.4,0,97,0.16,0.984990131
5/27/17 2:20,0.13,0.062,74.7,0.109,0.138,75.4,0,97,0.16,0.338215499
5/27/17 2:25,0.129,0.063,74.7,0.109,0.138,75.4,0,96,0.16,0.108099626
5/27/17 2:30,0.129,0.062,74.7,0.109,0.138,75.4,0,95,0.16,0.859430369
5/27/17 2:35,0.129,0.062,74.7,0.108,0.138,75.4,0,95,0.16,0.735921343
5/27/17 2:40,0.129,0.062,74.7,0.109,0.138,75.4,0,94,0.16,0.603768392
5/27/17 2:45,0.129,0.063,74.7,0.109,0.138,75.4,0,95,0.16,0.260063487
5/27/17 2:50,0.13,0.062,74.7,0.108,0.138,75.4,0,96,0.16,0.784625111
5/27/17 2:55,0.13,0.062,74.7,0.108,0.138,75.4,0,96,0.16,0.243059475
5/27/17 3:00,0.129,0.062,74.7,0.109,0.136,75.4,0,96,0.16,0.060052114
5/27/17 3:05,0.129,0.062,74.7,0.109,0.136,75.4,0,96,0.16,0.783116499
